iter	Logloss
0	0.6890137334
1	0.6854653032
2	0.6816760148
3	0.6778777572
4	0.6730965325
5	0.6685287916
6	0.6648886681
7	0.6618133942
8	0.6579125955
9	0.6545908901
10	0.6509786768
11	0.6478541578
12	0.6444727271
13	0.6410114215
14	0.6375564667
15	0.6337950455
16	0.6303773019
17	0.62688107
18	0.6240491143
19	0.6215104389
20	0.6183226665
21	0.6153985422
22	0.6124225566
23	0.609044039
24	0.6064371577
25	0.6035370672
26	0.6002779145
27	0.5973298443
28	0.5944842503
29	0.591543462
30	0.5887662037
31	0.5866656101
32	0.5835829284
33	0.5818098358
34	0.5796449651
35	0.5774371036
36	0.5752216867
37	0.5725358367
38	0.5706727138
39	0.5683191924
40	0.5663930177
41	0.564570047
42	0.5624546605
43	0.5599627143
44	0.5577583332
45	0.5555288928
46	0.5540475297
47	0.552522176
48	0.5502745196
49	0.5481712777
50	0.5464061314
51	0.5445007781
52	0.5423067981
53	0.5406367005
54	0.5390990754
55	0.5367949405
56	0.534873867
57	0.5329771561
58	0.5309510289
59	0.5295848877
60	0.5279551348
61	0.5265528026
62	0.5248635537
63	0.5233410059
64	0.5218676835
65	0.5202737821
66	0.5186168245
67	0.5166925431
68	0.5155610491
69	0.5142504865
70	0.5126629895
71	0.5113792558
72	0.5095630902
73	0.507811976
74	0.5066282956
75	0.5052311079
76	0.5037622141
77	0.5023354751
78	0.5012239692
79	0.5003319446
80	0.4991136787
81	0.4977889432
82	0.4962308106
83	0.495209142
84	0.4938673727
85	0.492205304
86	0.4909404019
87	0.4899120125
88	0.4885879486
89	0.4871981392
90	0.4862720397
91	0.4854364261
92	0.4840892717
93	0.4829192615
94	0.4815666609
95	0.4807633196
96	0.4793859114
97	0.4781962321
98	0.4773704062
99	0.4764275457
100	0.4756468665
101	0.4747487394
102	0.4741369963
103	0.4731643165
104	0.471819181
105	0.4708419971
106	0.4700548191
107	0.4690778148
108	0.468172658
109	0.467435184
110	0.4666116868
111	0.4654054856
112	0.4643116668
113	0.4634949368
114	0.4623895843
115	0.4613564606
116	0.4603928151
117	0.459719251
118	0.4588864149
119	0.4579978319
120	0.4573465083
121	0.4562478882
122	0.4554149355
123	0.4544470373
124	0.4538131122
125	0.453137168
126	0.4522800781
127	0.4517628177
128	0.4508154821
129	0.4500518282
130	0.4491517086
131	0.4481314786
132	0.4473309203
133	0.4465293486
134	0.4457953028
135	0.4447097544
136	0.4441497968
137	0.4435617453
138	0.442884344
139	0.442184749
140	0.4414469915
141	0.4407881777
142	0.4404223016
143	0.4397405386
144	0.4392419836
145	0.4384172366
146	0.4375288689
147	0.4368555302
148	0.436219211
149	0.4356125947
150	0.4345169959
151	0.4338394307
152	0.4330961969
153	0.4324354503
154	0.4319612635
155	0.4315120716
156	0.4307399753
157	0.4304294424
158	0.4296368695
159	0.4290890057
160	0.4287399686
161	0.4280554561
162	0.4277011781
163	0.4269413002
164	0.4263189471
165	0.4258598167
166	0.4252139613
167	0.4245353456
168	0.4240479304
169	0.4234688657
170	0.4229906958
171	0.4223704806
172	0.4219193981
173	0.4212851926
174	0.4204947448
175	0.4198731718
176	0.4193513505
177	0.4186404057
178	0.4182401321
179	0.4176579483
180	0.4172119857
181	0.4164502269
182	0.4158844302
183	0.4152449464
184	0.4150128015
185	0.4146535187
186	0.4141864735
187	0.4135960806
188	0.4130789955
189	0.4124482449
190	0.4120645416
191	0.4116297052
192	0.4109324348
193	0.4106228544
194	0.4100170897
195	0.4093623914
196	0.4088292643
197	0.4085303526
198	0.4082097657
199	0.4076142525
200	0.4070734837
201	0.4066610842
202	0.4057520598
203	0.4051324185
204	0.4045799739
205	0.4040649361
206	0.4038312878
207	0.4034797453
208	0.4029028356
209	0.4026462566
210	0.4020228335
211	0.4016689079
212	0.401012133
213	0.4004894045
214	0.3999048486
215	0.3994464246
216	0.3989602056
217	0.3988070208
218	0.3982633733
219	0.3976929542
220	0.3971365223
221	0.3967566001
222	0.3962460661
223	0.3954719191
224	0.3951007911
225	0.394758818
226	0.3942505161
227	0.3937381783
228	0.3933104759
229	0.3929971657
230	0.3926142667
231	0.3921958551
232	0.3919307838
233	0.3915181844
234	0.3911340713
235	0.3905325607
236	0.3901931741
237	0.3896602493
238	0.3892880418
239	0.3890168022
240	0.3886436188
241	0.3882301338
242	0.3876985818
243	0.3872554463
244	0.3868343971
245	0.3865878303
246	0.3859699559
247	0.3856082402
248	0.385203163
249	0.3845971407
250	0.38407561
251	0.3835842052
252	0.3832350026
253	0.3828160096
254	0.3823164854
255	0.3817282526
256	0.3815709698
257	0.3811850145
258	0.3806181841
259	0.3802253351
260	0.3799151445
261	0.3795327926
262	0.3792337321
263	0.3789810096
264	0.3784488021
265	0.378049906
266	0.377691649
267	0.3772456435
268	0.3767966121
269	0.3763701783
270	0.3760325873
271	0.3757664199
272	0.375523825
273	0.3751319698
274	0.3747081774
275	0.3741604904
276	0.3737897733
277	0.3733576305
278	0.3730488591
279	0.3727699739
280	0.3723642452
281	0.3721253653
282	0.3715958646
283	0.371276509
284	0.3709074678
285	0.370591571
286	0.3701364463
287	0.3700067663
288	0.3695469499
289	0.3690855578
290	0.3686347191
291	0.368442974
292	0.368009883
293	0.3676822067
294	0.3673219543
295	0.3670015339
296	0.3666246691
297	0.3663436102
298	0.3660519152
299	0.3656003819
300	0.3655105832
301	0.3652282013
302	0.3647840873
303	0.3644917259
304	0.3640626707
305	0.3633646773
306	0.363054016
307	0.3628080162
308	0.3625671722
309	0.3623742062
310	0.3620968118
311	0.3617662994
312	0.3612536514
313	0.3609688956
314	0.3607323526
315	0.3605972232
316	0.3602933729
317	0.3600753464
318	0.3597852847
319	0.359498984
320	0.3590626227
321	0.3588067349
322	0.3584199026
323	0.3581895927
324	0.3576036478
325	0.3572360567
326	0.3570246472
